3.713;2.726;7.756;3.613;9.1;3.78;2.633;8.671;6.696;5.135;9.336;2.367;4.278;4.315;2.943;2.884;2.646;2.188;261;1.96;8.797;9.642;4.941;5.225;5.499;2.662;5.209;9.782;9.499;9.94
3.835;2.848;7.872;3.735;8.778;3.902;2.755;8.349;6.374;4.813;9.014;2.489;3.956;3.993;1.58;2.499;2.324;1.968;1.324;512;8.475;9.32;4.619;4.907;5.173;2.277;4.891;9.46;9.177;9.621
4.248;4.773;3.259;5.621;885;3.969;4.533;353;774;3.08;1.464;5.109;5.443;4.286;7.157;5.559;5.054;7.115;8.356;8.065;582;1.427;7.125;6.523;6.483;5.836;6.507;1.612;1.329;1.728
4.794;5.319;3.766;6.167;372;4.515;5.079;798;1.32;3.626;1.917;5.655;5.993;4.832;7.703;6.105;5.6;7.658;8.902;8.611;42;1.058;7.659;7.057;7.017;6.386;7.041;1.226;1.113;744
5.761;6.286;4.772;7.128;1.372;5.482;6.046;1.804;2.287;4.593;2.923;6.622;6.96;5.799;8.67;7.072;6.567;8.628;9.869;9.578;1.039;164;8.638;8.036;7.996;7.35;8.02;509;673;459
2.807;2.562;7.494;3.434;7.764;2.528;2.241;7.335;5.36;1.971;8;2.906;1.193;1.612;2.396;1.54;3.347;2.85;5.24;4.949;7.461;8.306;228;618;382;1.031;842;8.446;8.163;8.607
4.34;2.6;7.108;6.824;7.378;4.061;2.279;6.945;4.974;3.62;7.614;2.627;1.799;1.65;3.002;2.146;2.042;3.456;5.34;5.049;7.075;7.92;834;6;242;1.637;320;8.06;7.777;8.221
2.899;2.654;7.102;6.83;7.384;2.62;2.333;6.951;4.98;2.063;7.62;2.681;1.537;1.704;2.74;1.884;3.691;3.194;5.584;5.291;7.081;7.926;572;288;52;1.375;326;8.066;7.783;8.227
1.814;1.565;4.631;2.441;4.901;1.535;1.244;4.472;2.497;978;5.137;1.915;940;619;2.143;1.287;2.583;2.597;4.476;4.185;4.598;5.443;755;1.135;701;366;1.119;5.583;5.3;5.744
1.2;1.725;4.118;1.827;4.388;921;1.485;3.959;1.984;465;4.624;2.061;2.579;997;3.782;2.926;1.798;4.203;5.096;4.803;4.085;4.915;1.733;2.825;2.785;2.972;2.809;5.064;4.781;5.228
4.22;2.486;6.982;6.698;7.252;3.941;2.165;6.823;4.848;3.494;7.488;2.513;2.729;1.536;3.932;3.076;1.928;4.353;5.226;4.935;6.949;7.794;960;740;446;1.763;470;7.934;7.651;8.095
5.858;6.383;4.964;7.237;1.745;5.579;6.143;1.969;2.479;4.696;3.08;6.719;7.063;5.896;8.759;7.169;6.664;8.725;9.966;9.675;1.301;603;8.741;8.139;8.099;7.456;8.123;210;716;1.211
5.088;5.613;4.194;6.464;1.59;4.809;5.373;1.199;1.709;3.926;2.31;5.949;6.29;5.128;7.999;6.401;5.896;7.957;9.198;8.907;1.317;896;7.968;7.366;7.326;6.683;7.35;832;420;1.227
