1.965;6.428;6.266;2.416;8.727;1.209;6.418;5.718;4.091;2.293;2.371;8.097;8.11;4.839;2.328;1.686;642;1.715;1.055;1.203;1.745;3.354;3.028;5.564;6.11;7.061;1.657;2.44;2.001;1.438;2.191;2.33;7.19;6.406;6.905;7.037;2.224
1.646;5.445;5.287;2.097;7.744;1.412;5.435;4.735;3.108;1.31;1.009;7.114;7.127;3.856;2.009;1.367;1.012;732;1.31;590;2.189;3.862;3.536;4.581;5.127;6.078;1.385;1.431;1.477;385;1.182;1.321;6.207;5.423;5.922;6.054;1.215
3.371;7.179;7.017;3.821;9.478;2.615;7.169;6.469;4.842;3.044;3.351;8.848;8.861;5.59;3.734;3.092;820;2.466;516;2.557;713;2.448;2.083;6.315;6.861;7.812;2.108;2.718;2.452;1.889;3.524;3.683;7.941;7.157;7.656;7.788;3.557
3.159;7.221;7.056;3.61;9.52;2.901;7.485;6.508;4.881;3.083;3.12;8.887;8.903;5.629;3.984;2.88;751;2.505;1.208;2.088;321;2.056;1.691;6.357;6.903;7.854;1.91;2.52;2.254;1.691;3.293;3.452;7.983;7.199;7.698;7.83;3.326
1.942;7.104;6.639;2.393;9.643;1.948;6.445;6.632;5.007;3.209;3.287;9.013;9.026;5.755;2.175;1.663;2.877;3.32;2.313;633;1.591;1.374;1.54;6.48;7.026;7.977;3.892;4.045;4.236;3.165;3.316;3.935;8.106;7.323;7.821;7.956;3.829
3.37;8.532;8.067;3.821;11.298;3.376;7.873;8.298;6.671;4.876;4.954;10.68;10.693;7.416;3.376;3.091;3.855;4.298;2.577;2.418;1.492;1.516;804;8.147;8.693;9.644;4.87;5.023;5.214;4.143;4.774;4.913;9.773;8.989;9.488;9.62;4.798
5.186;3.93;3.766;6.346;1.761;4.583;3.914;969;1.377;3.796;3.544;4.093;3.721;3.481;6.904;5.714;5.883;4.989;6.185;5.463;7.065;8.741;8.415;420;291;1.284;7.493;7.115;7.117;4.525;4.006;6.993;1.911;1.125;1.62;1.263;5.323
7.037;5.899;5.735;8.197;3.464;6.44;5.883;2.909;3.317;5.647;5.395;5.796;5.424;5.693;8.751;7.565;7.734;6.831;8.036;7.314;8.916;10.592;10.266;2.279;1.901;808;9.344;8.966;8.968;6.376;5.851;8.844;1.1;1.536;924;1.478;7.174
3.217;5.035;4.871;4.416;7.328;2.62;5.019;4.319;2.692;1.827;1.305;6.704;6.714;3.44;4.971;3.745;3.641;2.138;4.101;3.489;5.093;6.772;6.446;4.165;4.711;5.662;4.258;3.88;3.882;3.171;2.286;3.758;5.797;5.011;5.503;5.641;2.088
4.474;7.199;7.053;4.596;9.51;3.877;7.201;6.501;4.874;3.667;3.736;8.877;8.896;5.622;3.334;2.692;2.775;1.551;3.235;1.913;3.844;5.181;4.859;6.347;6.881;7.844;908;530;532;1.101;2.497;408;7.979;7.19;7.688;7.814;2.299
4.746;7.471;7.325;4.868;9.782;4.145;7.473;6.773;5.146;3.939;4.008;9.149;9.168;5.894;3.27;2.628;1.687;1.487;2.114;1.849;2.756;5.117;4.795;6.619;7.153;8.116;534;178;204;1.037;2.769;388;8.251;7.462;7.96;8.086;2.571
2.667;6.547;6.401;2.789;8.858;2.07;6.549;5.849;4.222;1.86;1.545;8.225;8.244;4.97;3.756;3.195;2.902;1.454;3.362;1.811;3.971;5.083;4.757;5.695;6.235;7.192;2.785;2.407;2.409;1.005;669;2.285;7.327;6.541;7.036;7.162;549
2.143;4.426;4.262;4.056;6.719;1.546;4.41;3.71;2.083;1.053;579;6.095;6.105;2.831;4.611;2.671;2.915;1.412;3.375;2.424;3.984;5.698;5.372;3.556;4.102;5.053;4.123;3.745;3.747;3.036;1.041;3.623;5.188;4.402;4.897;5.032;1.953
5.61;8.335;8.181;5.732;10.646;5.009;8.337;7.637;6.01;4.803;4.872;10.013;10.032;6.758;3.474;2.832;2.915;1.691;3.375;2.053;3.984;5.321;4.999;7.483;8.017;8.98;956;886;816;1.241;3.633;352;9.115;8.326;8.824;8.95;3.435
6.759;5.621;5.457;7.919;3.116;6.162;5.605;2.631;3.039;5.369;5.117;5.807;5.605;5.415;8.477;7.287;7.456;6.553;7.758;7.036;8.634;10.314;9.984;2.038;1.646;1.9;9.066;8.688;8.69;6.098;5.573;8.566;888;1.258;539;1.238;6.896
5.849;4.711;4.547;7.009;2.757;5.252;4.695;1.721;2.129;4.459;4.207;5.089;4.717;4.505;7.567;6.377;6.546;5.643;6.848;6.126;7.728;9.404;9.078;1.128;1.287;879;8.156;7.778;7.78;5.188;4.663;7.656;936;219;843;879;5.986
3.559;5.128;4.964;4.758;7.421;2.962;5.112;4.412;2.785;2.169;1.647;6.797;6.807;3.533;5.313;4.087;3.844;2.396;4.304;3.002;4.913;6.268;5.948;4.258;4.804;5.755;3.559;3.181;3.183;2.472;1.587;3.059;5.89;5.104;5.599;5.734;1.389
